row_id,split,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target
oulad_final_result_0621,train,BBB,2013J,440765,F,North Western Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail
oulad_final_result_1512,train,CCC,2014B,618129,M,South Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass
oulad_final_result_1464,test,FFF,2014J,648564,M,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
oulad_final_result_1032,train,BBB,2014J,638417,F,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Withdrawn
oulad_final_result_0866,valid,FFF,2014B,626198,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,Y,Pass
oulad_final_result_1674,train,EEE,2013J,588402,M,Wales,Lower Than A Level,60-70%,35-55,0,60,N,Pass
oulad_final_result_1495,train,CCC,2014B,51576,F,London Region,Lower Than A Level,10-20,0-35,0,90,N,Withdrawn
oulad_final_result_1262,train,CCC,2014J,520750,M,Wales,HE Qualification,40-50%,0-35,0,90,N,Fail
oulad_final_result_1769,valid,DDD,2014J,690783,M,Scotland,Lower Than A Level,70-80%,0-35,0,120,N,Fail
oulad_final_result_1718,train,BBB,2013J,2584834,F,East Anglian Region,Lower Than A Level,50-60%,35-55,1,60,Y,Pass
oulad_final_result_0915,train,FFF,2013B,548043,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,Y,Withdrawn
oulad_final_result_1962,train,CCC,2014B,603222,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
oulad_final_result_1010,train,DDD,2014B,517864,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,1,120,N,Pass
oulad_final_result_0584,test,CCC,2014J,570757,M,Ireland,Post Graduate Qualification,,0-35,0,30,N,Pass
oulad_final_result_0028,test,FFF,2013J,572505,M,North Western Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
oulad_final_result_1043,train,DDD,2014J,681125,M,South West Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
oulad_final_result_1800,train,DDD,2014J,231697,M,North Western Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn
oulad_final_result_1972,test,BBB,2013B,273731,F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
oulad_final_result_1910,train,GGG,2014B,615001,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,30,N,Distinction
oulad_final_result_1861,train,GGG,2014B,633285,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,90,Y,Fail
oulad_final_result_0464,valid,CCC,2014J,199361,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
oulad_final_result_0886,train,FFF,2014J,696583,M,South East Region,A Level or Equivalent,60-70%,0-35,0,60,Y,Fail
oulad_final_result_0856,valid,CCC,2014J,1332356,M,East Midlands Region,HE Qualification,70-80%,35-55,0,30,N,Pass
oulad_final_result_1708,train,FFF,2014B,608891,M,London Region,Lower Than A Level,60-70%,0-35,0,60,N,Distinction
oulad_final_result_0022,train,DDD,2013J,2366701,F,South West Region,HE Qualification,40-50%,35-55,1,190,Y,Withdrawn
oulad_final_result_1837,valid,GGG,2013J,578666,F,West Midlands Region,A Level or Equivalent,20-30%,35-55,0,30,N,Fail
oulad_final_result_1568,train,DDD,2014J,169894,M,South West Region,HE Qualification,20-30%,0-35,3,60,N,Pass
oulad_final_result_0169,train,GGG,2014J,691281,F,London Region,A Level or Equivalent,70-80%,35-55,0,30,N,Fail
oulad_final_result_1331,train,BBB,2014J,677338,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Withdrawn
oulad_final_result_0914,valid,GGG,2014J,690471,F,London Region,Lower Than A Level,10-20,35-55,0,30,N,Fail
oulad_final_result_1079,train,FFF,2014B,543686,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass
oulad_final_result_1307,train,FFF,2014J,289179,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
oulad_final_result_0928,train,BBB,2014J,598317,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,120,N,Withdrawn
oulad_final_result_0008,train,BBB,2014J,699651,F,Yorkshire Region,HE Qualification,60-70%,0-35,0,120,N,Distinction
oulad_final_result_1629,valid,FFF,2013J,320437,M,Wales,A Level or Equivalent,20-30%,0-35,0,90,N,Pass
oulad_final_result_1225,test,CCC,2014J,529723,M,South West Region,A Level or Equivalent,40-50%,0-35,0,90,N,Withdrawn
oulad_final_result_0173,train,DDD,2014B,620793,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
oulad_final_result_1442,train,EEE,2014J,656825,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn
oulad_final_result_1377,valid,BBB,2014J,632144,F,West Midlands Region,HE Qualification,10-20,35-55,1,60,N,Withdrawn
oulad_final_result_1503,test,GGG,2013J,593540,F,London Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass
oulad_final_result_1281,train,EEE,2014B,2188680,M,South West Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
oulad_final_result_0225,valid,FFF,2014B,368675,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
oulad_final_result_1982,valid,BBB,2014B,630028,F,London Region,A Level or Equivalent,10-20,35-55,0,120,N,Pass
oulad_final_result_0272,train,BBB,2013B,94616,F,South Region,Lower Than A Level,80-90%,0-35,1,60,N,Fail
oulad_final_result_0864,train,DDD,2014J,585998,F,Wales,Lower Than A Level,40-50%,0-35,1,60,N,Fail
oulad_final_result_0987,train,DDD,2014B,2698251,F,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail
oulad_final_result_1924,train,FFF,2013B,560207,M,London Region,No Formal quals,20-30%,0-35,0,60,N,Pass
oulad_final_result_0533,train,EEE,2014J,643200,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn
oulad_final_result_1652,valid,DDD,2013J,515056,M,South West Region,HE Qualification,60-70%,0-35,0,60,N,Pass
oulad_final_result_0006,train,CCC,2014B,435271,M,South Region,Lower Than A Level,40-50%,0-35,0,90,N,Withdrawn
oulad_final_result_1397,train,FFF,2013J,585128,M,Ireland,A Level or Equivalent,10-20,0-35,0,60,N,Fail
oulad_final_result_0350,train,BBB,2014B,417684,F,South East Region,A Level or Equivalent,20-30%,0-35,2,60,N,Distinction
oulad_final_result_1130,train,DDD,2014J,687975,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Distinction
oulad_final_result_1268,valid,DDD,2013J,544649,M,North Region,Lower Than A Level,,35-55,1,60,N,Withdrawn
oulad_final_result_0066,train,EEE,2014J,657226,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass
oulad_final_result_0338,train,EEE,2014J,270988,M,South Region,HE Qualification,60-70%,0-35,0,60,N,Pass
oulad_final_result_0680,test,AAA,2013J,1889577,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
oulad_final_result_1670,train,DDD,2014B,618682,F,South Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn
oulad_final_result_0070,train,DDD,2013J,380239,M,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
oulad_final_result_0445,train,BBB,2013J,540249,M,East Anglian Region,A Level or Equivalent,0-10%,35-55,0,120,N,Fail
oulad_final_result_1158,train,DDD,2013J,2613296,M,Scotland,Lower Than A Level,40-50%,0-35,1,120,N,Pass
oulad_final_result_0381,train,FFF,2013B,535628,M,Ireland,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
oulad_final_result_1589,train,BBB,2014B,1626021,F,London Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass
oulad_final_result_0715,valid,FFF,2014J,690382,M,Scotland,HE Qualification,10-20,0-35,0,120,N,Pass
oulad_final_result_1630,test,FFF,2013B,467506,M,South West Region,A Level or Equivalent,70-80%,35-55,0,180,N,Pass
oulad_final_result_0703,train,BBB,2013B,534343,M,North Region,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction
oulad_final_result_0524,train,CCC,2014B,497047,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn
oulad_final_result_0252,test,BBB,2013J,576524,F,Scotland,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
oulad_final_result_0770,train,CCC,2014J,578634,M,South Region,Lower Than A Level,,0-35,0,90,N,Withdrawn
oulad_final_result_0527,train,EEE,2014B,543948,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
oulad_final_result_0613,test,FFF,2014J,341093,M,South West Region,A Level or Equivalent,10-20,0-35,2,120,N,Fail
oulad_final_result_1275,valid,BBB,2014B,495876,F,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Fail
oulad_final_result_0655,train,DDD,2014J,681182,M,West Midlands Region,HE Qualification,10-20,0-35,0,60,N,Withdrawn
oulad_final_result_0814,valid,FFF,2014B,595428,M,North Western Region,HE Qualification,0-10%,35-55,1,150,N,Fail
oulad_final_result_0138,train,CCC,2014B,617365,M,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Pass
oulad_final_result_0823,train,FFF,2013J,596369,M,South West Region,Lower Than A Level,10-20,0-35,0,90,N,Withdrawn
oulad_final_result_1789,train,DDD,2014B,260367,M,Ireland,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn
oulad_final_result_0604,valid,BBB,2014J,2407594,F,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
oulad_final_result_1238,train,EEE,2014J,411619,M,Ireland,A Level or Equivalent,60-70%,0-35,0,30,N,Pass
oulad_final_result_0960,train,DDD,2014B,607946,M,London Region,Lower Than A Level,30-40%,0-35,1,120,Y,Withdrawn
oulad_final_result_1977,train,BBB,2013J,597102,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction
oulad_final_result_1955,train,BBB,2013B,554830,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,120,N,Fail
oulad_final_result_1132,train,DDD,2013J,588556,M,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
oulad_final_result_0346,train,BBB,2013J,574051,F,Wales,Lower Than A Level,0-10%,35-55,0,120,N,Fail
oulad_final_result_0778,valid,FFF,2013B,559642,M,East Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Pass
oulad_final_result_1653,train,BBB,2013B,524101,F,North Region,Lower Than A Level,50-60%,35-55,1,120,N,Withdrawn
oulad_final_result_1735,valid,GGG,2014B,359645,F,South East Region,Lower Than A Level,90-100%,0-35,0,30,N,Withdrawn
oulad_final_result_0209,train,FFF,2014J,649079,M,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn
oulad_final_result_0676,train,CCC,2014J,681335,M,North Western Region,Lower Than A Level,0-10%,35-55,0,120,N,Withdrawn
oulad_final_result_1755,train,DDD,2014B,619964,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Withdrawn
oulad_final_result_0463,valid,DDD,2014J,590340,F,North Region,Lower Than A Level,0-10%,0-35,0,70,N,Distinction
oulad_final_result_1624,train,FFF,2014B,470619,F,Scotland,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
oulad_final_result_0682,train,CCC,2014J,683503,M,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn
oulad_final_result_0575,train,CCC,2014J,621884,F,South Region,A Level or Equivalent,60-70%,0-35,0,90,N,Distinction
oulad_final_result_0544,train,GGG,2014J,647067,F,North Western Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail
oulad_final_result_1879,train,DDD,2014J,477099,M,London Region,A Level or Equivalent,20-30%,0-35,0,180,N,Withdrawn
oulad_final_result_0221,train,BBB,2014B,615259,F,South East Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
oulad_final_result_0031,train,EEE,2013J,561826,F,London Region,HE Qualification,0-10%,0-35,0,30,N,Pass
oulad_final_result_0054,train,DDD,2013J,308707,F,South West Region,Lower Than A Level,60-70%,0-35,1,120,N,Withdrawn
oulad_final_result_0305,train,BBB,2014J,606442,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
oulad_final_result_0314,train,CCC,2014J,2096918,M,South West Region,A Level or Equivalent,20-30%,35-55,1,30,N,Fail
oulad_final_result_1844,test,BBB,2014J,630834,F,West Midlands Region,A Level or Equivalent,80-90%,35-55,0,120,N,Pass
oulad_final_result_0671,train,BBB,2014J,228235,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,2,60,N,Withdrawn
oulad_final_result_1782,train,BBB,2014B,632682,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail
oulad_final_result_0919,test,EEE,2013J,396631,M,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
oulad_final_result_1389,train,FFF,2013J,572179,M,Scotland,Lower Than A Level,40-50%,0-35,0,90,Y,Withdrawn
oulad_final_result_0662,train,BBB,2014B,483921,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Fail
oulad_final_result_0851,train,FFF,2014J,611603,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
oulad_final_result_1563,train,AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
oulad_final_result_0583,train,AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
oulad_final_result_1152,train,BBB,2014B,485262,F,North Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
oulad_final_result_0631,train,GGG,2014J,686267,F,South West Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass
oulad_final_result_0378,train,CCC,2014B,623780,M,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Fail
oulad_final_result_1741,train,CCC,2014B,521297,M,South East Region,A Level or Equivalent,30-40%,0-35,0,60,Y,Pass
oulad_final_result_0880,train,FFF,2013J,606496,M,Scotland,Post Graduate Qualification,70-80%,35-55,0,90,N,Fail
oulad_final_result_1524,train,BBB,2013J,593510,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
oulad_final_result_0734,train,CCC,2014B,620320,M,North Western Region,Lower Than A Level,20-30%,0-35,0,120,Y,Withdrawn
oulad_final_result_1244,valid,FFF,2014J,560823,M,South West Region,A Level or Equivalent,80-90%,0-35,1,120,N,Withdrawn
oulad_final_result_1322,train,DDD,2013J,511282,F,North Western Region,A Level or Equivalent,10-20,0-35,0,90,N,Pass
oulad_final_result_1074,valid,GGG,2013J,591602,F,North Western Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass
oulad_final_result_0098,test,GGG,2013J,500112,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,30,N,Pass
oulad_final_result_1274,train,BBB,2014B,623321,M,Ireland,Lower Than A Level,90-100%,0-35,0,60,N,Fail
oulad_final_result_0632,train,BBB,2013B,516456,F,South West Region,A Level or Equivalent,40-50%,0-35,0,150,N,Pass
oulad_final_result_1617,train,BBB,2013B,365707,F,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction
oulad_final_result_0908,train,CCC,2014B,2605030,M,Yorkshire Region,HE Qualification,0-10%,35-55,0,150,N,Withdrawn
oulad_final_result_1556,test,BBB,2014B,625202,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
oulad_final_result_1791,train,DDD,2013B,131609,M,North Western Region,Lower Than A Level,40-50%,35-55,0,90,N,Withdrawn
oulad_final_result_0296,train,FFF,2014B,627307,M,South West Region,HE Qualification,80-90%,0-35,0,90,N,Pass
oulad_final_result_0891,train,FFF,2013J,508059,M,West Midlands Region,A Level or Equivalent,80-90%,0-35,1,90,N,Fail
oulad_final_result_0265,valid,DDD,2014B,440798,M,Wales,Lower Than A Level,60-70%,0-35,1,150,N,Fail
oulad_final_result_0976,valid,FFF,2014B,620081,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
oulad_final_result_0665,train,DDD,2013B,529078,M,South Region,HE Qualification,60-70%,0-35,0,60,N,Pass
oulad_final_result_1550,train,GGG,2013J,586563,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,30,N,Fail
oulad_final_result_0867,train,BBB,2013J,610776,F,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
oulad_final_result_0985,train,DDD,2014J,684868,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Withdrawn
oulad_final_result_0539,train,AAA,2013J,2339528,F,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction
oulad_final_result_1453,train,EEE,2014J,634655,M,London Region,HE Qualification,40-50%,35-55,0,60,N,Withdrawn
oulad_final_result_1462,train,DDD,2013J,579325,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass
oulad_final_result_1134,train,EEE,2014B,626877,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
oulad_final_result_0704,train,BBB,2014B,2022801,M,South Region,A Level or Equivalent,90-100%,35-55,1,120,N,Distinction
oulad_final_result_0143,train,DDD,2013B,2400764,F,Scotland,HE Qualification,80-90%,0-35,0,60,N,Fail
oulad_final_result_1088,train,EEE,2014B,1789319,F,South East Region,HE Qualification,50-60%,35-55,0,60,N,Pass
oulad_final_result_0555,valid,CCC,2014B,633527,M,London Region,HE Qualification,0-10%,0-35,0,30,N,Withdrawn
oulad_final_result_0170,train,BBB,2013B,370302,M,North Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail
oulad_final_result_0755,valid,FFF,2014B,626473,M,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
oulad_final_result_0574,train,FFF,2014J,687112,M,North Western Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
oulad_final_result_0029,train,FFF,2014J,173412,M,North Region,HE Qualification,20-30%,0-35,1,60,N,Withdrawn
oulad_final_result_1899,valid,DDD,2014B,612563,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail
oulad_final_result_1854,train,BBB,2014J,698198,F,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Fail
oulad_final_result_0460,train,FFF,2014J,650424,M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,Pass
oulad_final_result_1339,train,CCC,2014J,675504,F,South West Region,A Level or Equivalent,40-50%,0-35,0,90,N,Distinction
oulad_final_result_0650,train,FFF,2013J,583826,M,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
oulad_final_result_0450,valid,FFF,2014J,1473878,M,Scotland,HE Qualification,30-40%,35-55,0,120,Y,Pass
oulad_final_result_1320,test,BBB,2013J,396256,F,South East Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn
oulad_final_result_1024,valid,FFF,2013J,602837,M,North Region,HE Qualification,,0-35,0,60,N,Pass
oulad_final_result_1884,train,BBB,2014B,387276,F,North Western Region,Lower Than A Level,50-60%,35-55,3,120,N,Withdrawn
oulad_final_result_0807,train,CCC,2014B,576191,M,Scotland,HE Qualification,10-20,0-35,0,120,N,Fail
oulad_final_result_1197,train,BBB,2014B,617560,F,South West Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
oulad_final_result_0522,train,CCC,2014J,682717,M,Scotland,HE Qualification,20-30%,35-55,0,150,N,Fail
oulad_final_result_0455,train,CCC,2014B,556858,F,South Region,A Level or Equivalent,90-100%,35-55,0,30,N,Pass
oulad_final_result_1492,valid,BBB,2014J,690548,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail
oulad_final_result_1273,valid,DDD,2013J,578850,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,90,N,Pass
oulad_final_result_0835,train,BBB,2013J,547266,F,Yorkshire Region,HE Qualification,10-20,35-55,0,60,N,Withdrawn
oulad_final_result_1664,train,BBB,2014J,647807,F,South West Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
oulad_final_result_1690,train,AAA,2014J,185350,M,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Fail
oulad_final_result_1328,train,FFF,2013B,432222,M,South East Region,A Level or Equivalent,70-80%,35-55,1,60,N,Pass
oulad_final_result_1749,train,FFF,2014J,648867,M,North Western Region,Lower Than A Level,10-20,0-35,0,60,N,Fail
oulad_final_result_1443,test,DDD,2014J,698252,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,60,N,Withdrawn
oulad_final_result_0620,train,DDD,2013B,548535,F,South East Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass
oulad_final_result_0320,test,CCC,2014J,577427,M,Scotland,A Level or Equivalent,50-60%,0-35,1,30,N,Fail
oulad_final_result_0150,train,AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
oulad_final_result_1740,train,FFF,2013B,482513,F,North Western Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass
oulad_final_result_1460,valid,CCC,2014B,2591014,F,Scotland,HE Qualification,10-20,0-35,0,90,N,Withdrawn
oulad_final_result_1880,train,FFF,2013J,598543,M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,90,N,Pass
oulad_final_result_0582,train,BBB,2013B,529383,F,Scotland,HE Qualification,80-90%,35-55,1,150,N,Fail
oulad_final_result_0082,train,EEE,2014B,382432,M,South West Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
oulad_final_result_1474,train,BBB,2014B,622505,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Distinction
oulad_final_result_0710,train,BBB,2014B,291848,F,Wales,HE Qualification,30-40%,35-55,3,120,N,Fail
oulad_final_result_1159,train,BBB,2014B,567273,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Withdrawn
oulad_final_result_1093,train,FFF,2013B,283050,M,West Midlands Region,Lower Than A Level,20-30%,0-35,1,180,N,Fail
oulad_final_result_1366,train,FFF,2013B,2068918,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
oulad_final_result_1853,valid,FFF,2014J,2293511,M,Yorkshire Region,HE Qualification,20-30%,0-35,0,60,N,Distinction
oulad_final_result_1721,train,CCC,2014B,466714,M,South West Region,A Level or Equivalent,40-50%,0-35,0,120,Y,Withdrawn
oulad_final_result_0347,test,FFF,2014B,611350,M,Wales,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
oulad_final_result_0484,test,BBB,2013J,532615,F,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Distinction
oulad_final_result_1886,valid,BBB,2013J,594677,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
oulad_final_result_0706,train,BBB,2014J,689952,M,London Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn
oulad_final_result_0518,train,DDD,2013J,477120,F,South East Region,HE Qualification,40-50%,0-35,0,60,N,Pass
oulad_final_result_0556,train,BBB,2014J,611268,F,North Western Region,A Level or Equivalent,20-30%,35-55,1,60,N,Distinction
oulad_final_result_1595,train,BBB,2014B,505248,F,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
oulad_final_result_1598,train,CCC,2014B,629773,M,South East Region,A Level or Equivalent,70-80%,0-35,0,90,Y,Withdrawn
oulad_final_result_1214,test,AAA,2014J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,1,180,N,Pass
oulad_final_result_1697,test,FFF,2014B,330669,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,1,180,N,Withdrawn
oulad_final_result_1359,train,EEE,2014J,651930,M,South West Region,Lower Than A Level,60-70%,0-35,0,30,N,Distinction
oulad_final_result_1299,valid,FFF,2014J,688532,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,60,Y,Withdrawn
oulad_final_result_0165,train,FFF,2014J,316061,M,North Western Region,Lower Than A Level,0-10%,0-35,2,60,Y,Withdrawn
oulad_final_result_0560,train,BBB,2013J,427921,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass
oulad_final_result_1753,valid,FFF,2014B,590548,M,South West Region,Lower Than A Level,0-10%,35-55,1,120,Y,Withdrawn
oulad_final_result_0563,train,FFF,2014J,688442,F,West Midlands Region,HE Qualification,20-30%,35-55,0,60,N,Withdrawn
oulad_final_result_0052,train,FFF,2013J,187199,M,North Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
oulad_final_result_0057,valid,FFF,2013J,530852,M,Wales,Lower Than A Level,10-20,0-35,1,60,N,Withdrawn
oulad_final_result_1913,train,BBB,2013J,578578,F,East Midlands Region,A Level or Equivalent,80-90%,35-55,0,120,N,Pass
oulad_final_result_0844,test,FFF,2013J,481092,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,240,Y,Withdrawn
oulad_final_result_1787,train,EEE,2014J,644480,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
oulad_final_result_1171,valid,BBB,2014J,653752,F,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
oulad_final_result_0592,train,DDD,2013J,343238,F,North Western Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
oulad_final_result_0627,train,EEE,2013J,585433,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass
oulad_final_result_1014,train,CCC,2014J,592093,M,West Midlands Region,Lower Than A Level,20-30%,0-35,1,60,N,Pass
oulad_final_result_1931,train,BBB,2014B,621703,F,West Midlands Region,No Formal quals,10-20,0-35,0,60,N,Fail
oulad_final_result_1279,train,EEE,2014J,2631935,M,North Western Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
oulad_final_result_1220,test,FFF,2014J,695879,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Withdrawn
oulad_final_result_0622,train,DDD,2014B,617265,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
oulad_final_result_1526,train,DDD,2014J,647218,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail
oulad_final_result_1447,train,DDD,2013J,573689,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
oulad_final_result_0475,train,BBB,2014B,634606,F,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
oulad_final_result_0136,train,DDD,2014B,589569,M,East Anglian Region,Lower Than A Level,40-50%,0-35,1,120,N,Withdrawn
oulad_final_result_0432,train,BBB,2013B,2612483,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction
oulad_final_result_0046,test,FFF,2014J,617010,F,North Western Region,A Level or Equivalent,0-10%,0-35,1,60,N,Pass
oulad_final_result_0939,test,DDD,2013J,592486,M,Scotland,Lower Than A Level,70-80%,0-35,0,90,N,Fail
oulad_final_result_1395,test,DDD,2014J,192375,F,South Region,HE Qualification,60-70%,0-35,0,120,N,Pass
oulad_final_result_0591,train,FFF,2013J,603597,M,London Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass
oulad_final_result_0590,train,BBB,2014J,1526770,F,Ireland,Lower Than A Level,50-60%,35-55,0,90,N,Distinction
oulad_final_result_1688,train,CCC,2014B,95906,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
oulad_final_result_0227,train,BBB,2013J,586516,F,South East Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
oulad_final_result_1508,valid,BBB,2013B,2097916,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction
oulad_final_result_1051,valid,BBB,2013B,528270,F,South West Region,Lower Than A Level,70-80%,0-35,0,180,N,Withdrawn
oulad_final_result_0849,train,FFF,2013J,591620,M,South West Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn
